name,color_image,prod_image
Men's Better Sweater® Rib Knit 1/4-Zip Fleece,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw9489d7d0%2Fimages%2Fhi-res%2F25300_NKLK.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw37068774%2Fimages%2Fhi-res%2F25300_IGRK_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw4ec418e4%2Fimages%2Fhi-res%2F25300_IGRK_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw646f0331%2Fimages%2Fhi-res%2F25300_IGRK_OM3.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80']"
Men's Better Sweater® Rib Knit 1/4-Zip Fleece,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw33a03483%2Fimages%2Fhi-res%2F25300_STHK.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw37068774%2Fimages%2Fhi-res%2F25300_IGRK_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw4ec418e4%2Fimages%2Fhi-res%2F25300_IGRK_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw646f0331%2Fimages%2Fhi-res%2F25300_IGRK_OM3.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw5fbe0b25%2Fimages%2Fhi-res%2F25528_BLK.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw10071995%2Fimages%2Fhi-res%2F25528_BLK_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw7ed3ef9e%2Fimages%2Fhi-res%2F25528_BLK_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwa9269da5%2Fimages%2Fhi-res%2F25528_BLK_OPEN.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw69817253%2Fimages%2Fhi-res%2F25528_INDG.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw8437f7f3%2Fimages%2Fhi-res%2F25528_INDG_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw9a10fddc%2Fimages%2Fhi-res%2F25528_INDG_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwdbc74d62%2Fimages%2Fhi-res%2F25528_INDG_OM3.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw61799205%2Fimages%2Fhi-res%2F25528_INDG_OPEN.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw2a0676e4%2Fimages%2Fhi-res%2F25528_LDBR.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwf2831e81%2Fimages%2Fhi-res%2F25528_LDBR_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw68ab4ac7%2Fimages%2Fhi-res%2F25528_LDBR_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwec8064b5%2Fimages%2Fhi-res%2F25528_NENA.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwbfc3565e%2Fimages%2Fhi-res%2F25528_NENA_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdweacd55fe%2Fimages%2Fhi-res%2F25528_NENA_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw56c42fc3%2Fimages%2Fhi-res%2F25528_NENA_OM3.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw5adb52af%2Fimages%2Fhi-res%2F25528_NKL.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw16b8c644%2Fimages%2Fhi-res%2F25528_NKL_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw2b7acce9%2Fimages%2Fhi-res%2F25528_NKL_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw1ae732b7%2Fimages%2Fhi-res%2F25528_PEK.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw285901e1%2Fimages%2Fhi-res%2F25528_PEK_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw46677302%2Fimages%2Fhi-res%2F25528_PEK_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw9229153e%2Fimages%2Fhi-res%2F25528_PEK_OM3.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw69368c35%2Fimages%2Fhi-res%2F25528_PEK_OPEN.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw8cca2ef2%2Fimages%2Fhi-res%2F25528_PIGR.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw49129be9%2Fimages%2Fhi-res%2F25528_PIGR_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw249ff718%2Fimages%2Fhi-res%2F25528_PIGR_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdwd050cc50%2Fimages%2Fhi-res%2F25528_STH.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw5c805dd4%2Fimages%2Fhi-res%2F25528_STH_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw6f0e640a%2Fimages%2Fhi-res%2F25528_STH_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=140&sh=140&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw38870356%2Fimages%2Fhi-res%2F25528_STH_OM4.png%3Fsw%3D140%26sh%3D140%26q%3D80&sfrm=png&q=80']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw5d02a481%2Fimages%2Fhi-res%2F25528_BEPG.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw54bda796%2Fimages%2Fhi-res%2F25528_BEPG_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw0ebd54da%2Fimages%2Fhi-res%2F25528_BEPG_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75']"
Men's Better Sweater® Fleece Jacket,https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=800&sh=800&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw28dfb4f4%2Fimages%2Fhi-res%2F25528_BLPA.png%3Fsw%3D800%26sh%3D800%26q%3D95&sfrm=png&q=95,"['https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw5792d180%2Fimages%2Fhi-res%2F25528_BLPA_OM1.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75', 'https://www.patagonia.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwb901c3b0/images/hi-res/gray.jpg?sw=2000&sh=2000&ox=0&oy=0&oimg=https%3A%2F%2Fwww.patagonia.com%2Fdw%2Fimage%2Fv2%2FBDJB_PRD%2Fon%2Fdemandware.static%2F-%2FSites-patagonia-master%2Fdefault%2Fdw2ae519fc%2Fimages%2Fhi-res%2F25528_BLPA_OM2.png%3Fsw%3D2000%26sh%3D2000%26q%3D75&sfrm=png&q=75']"
